File created on 2020-10-07T15:24:25.164921
#COOR
GSM


#START
2000 07 15 03 35 00 000       -4.89      -5.60      -1.59    -730.70     -42.88       7.18       4.37  294958.00
2000 07 15 03 36 00 000       -4.67      -5.47      -2.31    -740.10     -35.71       6.44       3.63  271777.00
2000 07 15 03 37 00 000       -4.39      -5.27      -3.03    -729.00     -37.98       4.10       4.55  239123.00
2000 07 15 03 38 00 000       -4.83      -5.31      -1.57    -747.80     -56.15       3.50       4.04  434767.00
2000 07 15 03 39 00 000       -5.02      -5.18       1.50    -732.30     -62.47       5.54       4.69  322554.00
2000 07 15 03 40 00 000       -4.95      -5.18       1.26    -731.70     -56.15       5.40       3.68  585658.00
2000 07 15 03 41 00 000       -4.63      -4.41       2.86    -750.00     -61.89     -10.02       1.48 1112134.00
2000 07 15 03 42 00 000       -4.31      -5.16       1.30    -731.70     -58.96       5.40       2.98  645593.00
2000 07 15 03 43 00 000       -4.32      -4.82       1.65    -735.50     -71.72       9.20       3.50  604754.00
2000 07 15 03 44 00 000       -4.14      -4.50       2.13    -734.60     -79.42       5.20       2.59  379681.00
2000 07 15 03 45 00 000       -4.22      -3.95       2.89    -735.20     -72.29       5.96       2.79  507013.00
2000 07 15 03 46 00 000       -4.27      -4.97       0.20    -754.60     -51.91       7.29       3.59  487732.00
2000 07 15 03 47 00 000       -4.66      -4.83      -0.22    -748.50     -60.94       8.38       3.13  509106.00
2000 07 15 03 48 00 000       -4.75      -4.94       0.18    -740.60     -70.21      13.44       3.15  572200.00
2000 07 15 03 49 00 000       -4.45      -5.01       1.16    -732.70     -78.90      10.59       2.82  616870.00
2000 07 15 03 50 00 000       -3.79      -4.62       2.56    -730.80     -79.23       6.96       2.70  775091.00
2000 07 15 03 51 00 000       -3.55      -4.68       2.65    -732.70     -83.92      11.51       2.36  588079.00
2000 07 15 03 52 00 000       -3.33      -4.84       2.64    -734.70     -82.81       8.22       2.37  477817.00
2000 07 15 03 53 00 000       -3.06      -5.01       2.35    -727.60     -90.93       1.01       2.71  823600.00
